frame_idx,frame_name,x_px,y_px
327,frame_000327.jpg,551,342
327,frame_000327.jpg,552,344
328,frame_000328.jpg,515,343
330,frame_000330.jpg,485,340
330,frame_000330.jpg,485,340
331,frame_000331.jpg,483,339
332,frame_000332.jpg,480,337
333,frame_000333.jpg,478,334
335,frame_000335.jpg,478,332
335,frame_000335.jpg,476,331
336,frame_000336.jpg,476,331
337,frame_000337.jpg,474,330
339,frame_000339.jpg,406,332
340,frame_000340.jpg,409,332
341,frame_000341.jpg,412,334
341,frame_000341.jpg,415,339
343,frame_000343.jpg,419,340
344,frame_000344.jpg,423,342
345,frame_000345.jpg,426,340
346,frame_000346.jpg,429,339
346,frame_000346.jpg,431,337
348,frame_000348.jpg,431,333
349,frame_000349.jpg,431,330
350,frame_000350.jpg,428,327
350,frame_000350.jpg,426,326
352,frame_000352.jpg,424,326
352,frame_000352.jpg,422,328
353,frame_000353.jpg,422,331
354,frame_000354.jpg,421,335
354,frame_000354.jpg,421,337
356,frame_000356.jpg,421,341
357,frame_000357.jpg,421,344
358,frame_000358.jpg,423,355
360,frame_000360.jpg,428,364
360,frame_000360.jpg,432,370
361,frame_000361.jpg,457,377
362,frame_000362.jpg,535,369
363,frame_000363.jpg,536,370
365,frame_000365.jpg,537,367
365,frame_000365.jpg,537,362
366,frame_000366.jpg,537,354
367,frame_000367.jpg,496,347
369,frame_000369.jpg,424,359
370,frame_000370.jpg,422,353
370,frame_000370.jpg,419,349
371,frame_000371.jpg,416,345
373,frame_000373.jpg,416,345
374,frame_000374.jpg,421,345
374,frame_000374.jpg,430,344
375,frame_000375.jpg,437,346
376,frame_000376.jpg,443,349
378,frame_000378.jpg,448,353
379,frame_000379.jpg,452,359
380,frame_000380.jpg,455,361
380,frame_000380.jpg,457,361
391,frame_000391.jpg,450,285
392,frame_000392.jpg,451,276
393,frame_000393.jpg,453,271
395,frame_000395.jpg,453,272
395,frame_000395.jpg,456,276
396,frame_000396.jpg,459,285
397,frame_000397.jpg,459,298
399,frame_000399.jpg,462,309
400,frame_000400.jpg,463,321
401,frame_000401.jpg,464,335
403,frame_000403.jpg,465,347
403,frame_000403.jpg,466,357
403,frame_000403.jpg,465,363
404,frame_000404.jpg,465,364
405,frame_000405.jpg,464,360
406,frame_000406.jpg,461,349
408,frame_000408.jpg,459,336
409,frame_000409.jpg,457,326
410,frame_000410.jpg,454,315
410,frame_000410.jpg,450,313
412,frame_000412.jpg,447,309
412,frame_000412.jpg,446,307
413,frame_000413.jpg,445,306
414,frame_000414.jpg,445,305
414,frame_000414.jpg,446,305
417,frame_000417.jpg,447,308
417,frame_000417.jpg,449,315
418,frame_000418.jpg,450,324
420,frame_000420.jpg,452,334
421,frame_000421.jpg,454,342
421,frame_000421.jpg,455,350
422,frame_000422.jpg,457,355
423,frame_000423.jpg,458,358
425,frame_000425.jpg,460,360
425,frame_000425.jpg,460,359
426,frame_000426.jpg,461,356
427,frame_000427.jpg,462,354
429,frame_000429.jpg,462,351
429,frame_000429.jpg,463,347
430,frame_000430.jpg,463,347
431,frame_000431.jpg,463,347
433,frame_000433.jpg,463,346
434,frame_000434.jpg,463,346
435,frame_000435.jpg,463,346
435,frame_000435.jpg,463,346
436,frame_000436.jpg,462,345
438,frame_000438.jpg,462,343
439,frame_000439.jpg,461,342
440,frame_000440.jpg,460,335
440,frame_000440.jpg,460,334
442,frame_000442.jpg,460,330
442,frame_000442.jpg,460,326
443,frame_000443.jpg,460,327
443,frame_000443.jpg,461,329
444,frame_000444.jpg,462,333
446,frame_000446.jpg,464,340
447,frame_000447.jpg,467,349
448,frame_000448.jpg,469,354
448,frame_000448.jpg,362,359
450,frame_000450.jpg,307,356
451,frame_000451.jpg,308,354
452,frame_000452.jpg,306,350
464,frame_000464.jpg,469,343
465,frame_000465.jpg,470,339
466,frame_000466.jpg,473,337
468,frame_000468.jpg,477,337
468,frame_000468.jpg,479,335
469,frame_000469.jpg,482,333
470,frame_000470.jpg,483,332
472,frame_000472.jpg,483,334
485,frame_000485.jpg,495,343
486,frame_000486.jpg,496,345
486,frame_000486.jpg,499,345
487,frame_000487.jpg,502,346
489,frame_000489.jpg,504,345
490,frame_000490.jpg,484,346
491,frame_000491.jpg,452,348
493,frame_000493.jpg,449,346
493,frame_000493.jpg,446,344
494,frame_000494.jpg,444,345
495,frame_000495.jpg,442,359
496,frame_000496.jpg,434,385
496,frame_000496.jpg,417,403
498,frame_000498.jpg,399,409
499,frame_000499.jpg,387,411
500,frame_000500.jpg,386,409
502,frame_000502.jpg,392,400
502,frame_000502.jpg,407,394
502,frame_000502.jpg,421,390
503,frame_000503.jpg,434,389
504,frame_000504.jpg,442,389
506,frame_000506.jpg,447,390
507,frame_000507.jpg,447,390
507,frame_000507.jpg,439,384
508,frame_000508.jpg,432,375
510,frame_000510.jpg,436,377
511,frame_000511.jpg,447,385
512,frame_000512.jpg,456,392
513,frame_000513.jpg,457,398
513,frame_000513.jpg,454,399
515,frame_000515.jpg,445,399
515,frame_000515.jpg,436,392
516,frame_000516.jpg,431,386
517,frame_000517.jpg,430,379
519,frame_000519.jpg,433,370
520,frame_000520.jpg,435,361
521,frame_000521.jpg,438,358
523,frame_000523.jpg,439,357
523,frame_000523.jpg,438,359
524,frame_000524.jpg,419,365
525,frame_000525.jpg,359,376
526,frame_000526.jpg,358,380
528,frame_000528.jpg,360,383
528,frame_000528.jpg,361,383
529,frame_000529.jpg,368,380
530,frame_000530.jpg,371,376
532,frame_000532.jpg,376,374
532,frame_000532.jpg,378,371
533,frame_000533.jpg,379,372
534,frame_000534.jpg,379,373
534,frame_000534.jpg,380,376
536,frame_000536.jpg,397,379
537,frame_000537.jpg,471,380
538,frame_000538.jpg,471,379
540,frame_000540.jpg,471,379
541,frame_000541.jpg,471,380
541,frame_000541.jpg,470,379
542,frame_000542.jpg,471,376
543,frame_000543.jpg,471,372
545,frame_000545.jpg,472,364
546,frame_000546.jpg,472,360
546,frame_000546.jpg,472,359
547,frame_000547.jpg,471,356
549,frame_000549.jpg,471,356
550,frame_000550.jpg,469,355
551,frame_000551.jpg,470,355
553,frame_000553.jpg,457,355
554,frame_000554.jpg,389,358
554,frame_000554.jpg,390,358
554,frame_000554.jpg,390,359
555,frame_000555.jpg,391,360
556,frame_000556.jpg,391,362
558,frame_000558.jpg,390,365
559,frame_000559.jpg,391,369
560,frame_000560.jpg,391,371
562,frame_000562.jpg,392,373
562,frame_000562.jpg,391,372
562,frame_000562.jpg,392,373
563,frame_000563.jpg,392,374
564,frame_000564.jpg,392,374
564,frame_000564.jpg,394,373
566,frame_000566.jpg,394,374
567,frame_000567.jpg,394,374
568,frame_000568.jpg,397,374
570,frame_000570.jpg,400,375
570,frame_000570.jpg,400,375
571,frame_000571.jpg,400,373
572,frame_000572.jpg,401,371
572,frame_000572.jpg,400,370
573,frame_000573.jpg,401,371
575,frame_000575.jpg,400,371
576,frame_000576.jpg,400,373
577,frame_000577.jpg,399,378
579,frame_000579.jpg,399,381
580,frame_000580.jpg,407,386
580,frame_000580.jpg,493,393
581,frame_000581.jpg,493,395
583,frame_000583.jpg,491,407
584,frame_000584.jpg,490,421
585,frame_000585.jpg,489,427
585,frame_000585.jpg,486,427
586,frame_000586.jpg,484,423
588,frame_000588.jpg,483,421
589,frame_000589.jpg,484,421
590,frame_000590.jpg,486,416
592,frame_000592.jpg,486,415
592,frame_000592.jpg,488,410
592,frame_000592.jpg,400,416
593,frame_000593.jpg,400,412
593,frame_000593.jpg,401,410
594,frame_000594.jpg,403,406
596,frame_000596.jpg,407,402
597,frame_000597.jpg,408,398
598,frame_000598.jpg,407,391
598,frame_000598.jpg,407,387
600,frame_000600.jpg,404,383
601,frame_000601.jpg,399,380
602,frame_000602.jpg,394,375
603,frame_000603.jpg,406,369
605,frame_000605.jpg,473,356
606,frame_000606.jpg,469,349
606,frame_000606.jpg,467,345
607,frame_000607.jpg,467,344
609,frame_000609.jpg,469,343
610,frame_000610.jpg,472,344
610,frame_000610.jpg,475,352
611,frame_000611.jpg,478,359
613,frame_000613.jpg,479,363
614,frame_000614.jpg,453,371
614,frame_000614.jpg,431,378
615,frame_000615.jpg,431,375
616,frame_000616.jpg,433,371
618,frame_000618.jpg,435,370
619,frame_000619.jpg,436,369
620,frame_000620.jpg,437,369
620,frame_000620.jpg,436,368
622,frame_000622.jpg,436,367
622,frame_000622.jpg,437,364
623,frame_000623.jpg,439,365
623,frame_000623.jpg,441,366
624,frame_000624.jpg,443,366
626,frame_000626.jpg,444,367
627,frame_000627.jpg,444,367
628,frame_000628.jpg,445,367
628,frame_000628.jpg,501,363
630,frame_000630.jpg,511,361
631,frame_000631.jpg,512,360
632,frame_000632.jpg,516,362
633,frame_000633.jpg,518,365
633,frame_000633.jpg,521,367
635,frame_000635.jpg,525,367
636,frame_000636.jpg,529,367
637,frame_000637.jpg,533,367
637,frame_000637.jpg,537,367
639,frame_000639.jpg,539,370
640,frame_000640.jpg,539,372
641,frame_000641.jpg,539,373
643,frame_000643.jpg,539,374
644,frame_000644.jpg,541,375
644,frame_000644.jpg,546,376
645,frame_000645.jpg,549,376
646,frame_000646.jpg,516,377
648,frame_000648.jpg,432,371
648,frame_000648.jpg,432,375
649,frame_000649.jpg,433,381
650,frame_000650.jpg,434,383
652,frame_000652.jpg,434,382
652,frame_000652.jpg,435,379
652,frame_000652.jpg,434,370
653,frame_000653.jpg,434,363
654,frame_000654.jpg,432,360
656,frame_000656.jpg,432,356
657,frame_000657.jpg,432,352
658,frame_000658.jpg,433,351
658,frame_000658.jpg,434,354
660,frame_000660.jpg,437,356
661,frame_000661.jpg,553,380
662,frame_000662.jpg,630,394
662,frame_000662.jpg,634,395
663,frame_000663.jpg,642,392
676,frame_000676.jpg,446,357
676,frame_000676.jpg,444,353
678,frame_000678.jpg,443,350
679,frame_000679.jpg,443,350
680,frame_000680.jpg,443,350
682,frame_000682.jpg,442,349
682,frame_000682.jpg,444,350
682,frame_000682.jpg,443,350
683,frame_000683.jpg,443,350
684,frame_000684.jpg,444,349
684,frame_000684.jpg,445,349
686,frame_000686.jpg,448,352
687,frame_000687.jpg,449,356
688,frame_000688.jpg,449,360
690,frame_000690.jpg,432,363
690,frame_000690.jpg,410,375
691,frame_000691.jpg,410,375
692,frame_000692.jpg,410,375
693,frame_000693.jpg,411,376
695,frame_000695.jpg,411,374
696,frame_000696.jpg,411,372
696,frame_000696.jpg,412,370
697,frame_000697.jpg,412,367
699,frame_000699.jpg,409,365
700,frame_000700.jpg,333,344
701,frame_000701.jpg,332,342
701,frame_000701.jpg,331,339
703,frame_000703.jpg,330,339
704,frame_000704.jpg,331,342
704,frame_000704.jpg,331,345
705,frame_000705.jpg,332,353
706,frame_000706.jpg,331,359
708,frame_000708.jpg,334,367
709,frame_000709.jpg,336,370
710,frame_000710.jpg,337,366
710,frame_000710.jpg,338,358
712,frame_000712.jpg,338,342
712,frame_000712.jpg,339,327
713,frame_000713.jpg,344,316
714,frame_000714.jpg,482,317
716,frame_000716.jpg,489,316
716,frame_000716.jpg,490,316
717,frame_000717.jpg,491,320
718,frame_000718.jpg,494,325
720,frame_000720.jpg,495,328
721,frame_000721.jpg,496,333
721,frame_000721.jpg,495,334
722,frame_000722.jpg,493,334
723,frame_000723.jpg,491,333
725,frame_000725.jpg,491,334
725,frame_000725.jpg,483,333
726,frame_000726.jpg,455,290
727,frame_000727.jpg,456,290
729,frame_000729.jpg,455,288
730,frame_000730.jpg,455,287
730,frame_000730.jpg,456,286
731,frame_000731.jpg,456,284
733,frame_000733.jpg,457,281
734,frame_000734.jpg,459,281
735,frame_000735.jpg,460,280
735,frame_000735.jpg,460,280
736,frame_000736.jpg,460,279
738,frame_000738.jpg,459,279
739,frame_000739.jpg,457,277
752,frame_000752.jpg,394,316
753,frame_000753.jpg,394,316
755,frame_000755.jpg,394,316
755,frame_000755.jpg,393,316
756,frame_000756.jpg,380,314
757,frame_000757.jpg,179,319
759,frame_000759.jpg,121,309
760,frame_000760.jpg,122,310
760,frame_000760.jpg,121,311
761,frame_000761.jpg,123,310
763,frame_000763.jpg,123,313
764,frame_000764.jpg,123,313
764,frame_000764.jpg,124,313
765,frame_000765.jpg,125,313
766,frame_000766.jpg,125,312
768,frame_000768.jpg,318,329
768,frame_000768.jpg,469,332
769,frame_000769.jpg,465,332
770,frame_000770.jpg,466,331
772,frame_000772.jpg,466,329
772,frame_000772.jpg,467,329
772,frame_000772.jpg,466,326
773,frame_000773.jpg,465,324
774,frame_000774.jpg,465,323
776,frame_000776.jpg,464,322
777,frame_000777.jpg,462,321
778,frame_000778.jpg,460,317
778,frame_000778.jpg,540,323
780,frame_000780.jpg,568,327
781,frame_000781.jpg,567,329
781,frame_000781.jpg,567,334
782,frame_000782.jpg,566,339
783,frame_000783.jpg,566,343
794,frame_000794.jpg,537,344
795,frame_000795.jpg,537,342
796,frame_000796.jpg,535,341
798,frame_000798.jpg,534,344
798,frame_000798.jpg,534,344
799,frame_000799.jpg,532,345
800,frame_000800.jpg,532,346
802,frame_000802.jpg,531,349
815,frame_000815.jpg,526,332
816,frame_000816.jpg,526,332
816,frame_000816.jpg,525,330
817,frame_000817.jpg,526,329
819,frame_000819.jpg,526,328
820,frame_000820.jpg,527,329
820,frame_000820.jpg,528,329
821,frame_000821.jpg,528,329
823,frame_000823.jpg,528,330
824,frame_000824.jpg,527,330
824,frame_000824.jpg,526,331
825,frame_000825.jpg,602,330
826,frame_000826.jpg,655,321
828,frame_000828.jpg,651,315
829,frame_000829.jpg,649,311
830,frame_000830.jpg,648,308
832,frame_000832.jpg,647,306
832,frame_000832.jpg,646,306
832,frame_000832.jpg,646,308
833,frame_000833.jpg,646,309
834,frame_000834.jpg,653,300
834,frame_000834.jpg,658,279
836,frame_000836.jpg,662,280
838,frame_000838.jpg,667,275
838,frame_000838.jpg,508,162
840,frame_000840.jpg,411,83
841,frame_000841.jpg,413,76
842,frame_000842.jpg,409,68
843,frame_000843.jpg,406,57
845,frame_000845.jpg,402,45
845,frame_000845.jpg,398,38
846,frame_000846.jpg,394,27
858,frame_000858.jpg,495,331
859,frame_000859.jpg,496,331
859,frame_000859.jpg,496,331
860,frame_000860.jpg,496,332
862,frame_000862.jpg,496,333
862,frame_000862.jpg,497,335
863,frame_000863.jpg,597,322
863,frame_000863.jpg,602,325
864,frame_000864.jpg,600,328
866,frame_000866.jpg,598,330
867,frame_000867.jpg,593,331
868,frame_000868.jpg,593,332
868,frame_000868.jpg,592,331
870,frame_000870.jpg,592,330
871,frame_000871.jpg,592,330
872,frame_000872.jpg,591,328
872,frame_000872.jpg,589,327
873,frame_000873.jpg,687,319
875,frame_000875.jpg,708,313
876,frame_000876.jpg,709,313
877,frame_000877.jpg,712,314
877,frame_000877.jpg,711,315
879,frame_000879.jpg,713,317
880,frame_000880.jpg,714,318
881,frame_000881.jpg,598,331
883,frame_000883.jpg,505,344
884,frame_000884.jpg,507,343
884,frame_000884.jpg,507,338
885,frame_000885.jpg,506,336
886,frame_000886.jpg,506,334
888,frame_000888.jpg,506,327
888,frame_000888.jpg,507,328
900,frame_000900.jpg,518,301
901,frame_000901.jpg,516,301
901,frame_000901.jpg,512,303
902,frame_000902.jpg,512,306
903,frame_000903.jpg,515,312
905,frame_000905.jpg,515,315
906,frame_000906.jpg,513,317
906,frame_000906.jpg,505,316
907,frame_000907.jpg,500,313
909,frame_000909.jpg,494,308
910,frame_000910.jpg,490,311
910,frame_000910.jpg,488,319
911,frame_000911.jpg,488,327
913,frame_000913.jpg,488,335
914,frame_000914.jpg,488,340
915,frame_000915.jpg,486,341
916,frame_000916.jpg,479,339
916,frame_000916.jpg,476,332
918,frame_000918.jpg,475,329
919,frame_000919.jpg,474,326
920,frame_000920.jpg,476,325
922,frame_000922.jpg,484,317
922,frame_000922.jpg,484,315
922,frame_000922.jpg,482,313
937,frame_000937.jpg,463,317
939,frame_000939.jpg,466,319
940,frame_000940.jpg,466,319
941,frame_000941.jpg,467,319
952,frame_000952.jpg,454,331
952,frame_000952.jpg,454,332
953,frame_000953.jpg,454,333
954,frame_000954.jpg,453,335
954,frame_000954.jpg,453,338
956,frame_000956.jpg,453,340
957,frame_000957.jpg,452,341
958,frame_000958.jpg,452,343
960,frame_000960.jpg,452,344
960,frame_000960.jpg,452,342
979,frame_000979.jpg,454,338
980,frame_000980.jpg,453,337
982,frame_000982.jpg,454,335
982,frame_000982.jpg,454,334
983,frame_000983.jpg,456,336
984,frame_000984.jpg,456,336
986,frame_000986.jpg,455,338
986,frame_000986.jpg,453,341
987,frame_000987.jpg,454,348
988,frame_000988.jpg,413,372
990,frame_000990.jpg,410,381
990,frame_000990.jpg,408,381
991,frame_000991.jpg,408,382
992,frame_000992.jpg,407,382
993,frame_000993.jpg,407,382
995,frame_000995.jpg,408,382
996,frame_000996.jpg,408,381
997,frame_000997.jpg,407,380
997,frame_000997.jpg,405,377
999,frame_000999.jpg,404,373
1000,frame_001000.jpg,402,369
1001,frame_001001.jpg,403,369
1003,frame_001003.jpg,403,367
1003,frame_001003.jpg,403,365
1004,frame_001004.jpg,403,365
1005,frame_001005.jpg,384,368
1005,frame_001005.jpg,381,365
1006,frame_001006.jpg,379,363
1008,frame_001008.jpg,376,364
1020,frame_001020.jpg,414,379
1021,frame_001021.jpg,413,380
1022,frame_001022.jpg,412,381
1022,frame_001022.jpg,412,378
1023,frame_001023.jpg,411,377
1025,frame_001025.jpg,412,377
1026,frame_001026.jpg,411,375
1026,frame_001026.jpg,410,378
1027,frame_001027.jpg,407,378
1029,frame_001029.jpg,407,379
1030,frame_001030.jpg,407,379
1031,frame_001031.jpg,407,379
1033,frame_001033.jpg,406,376
1033,frame_001033.jpg,404,375
1034,frame_001034.jpg,405,374
1035,frame_001035.jpg,406,376
1036,frame_001036.jpg,406,377
1038,frame_001038.jpg,406,377
1038,frame_001038.jpg,432,372
1039,frame_001039.jpg,438,370
